linha,coluna
47,66
39,62
39,76
42,76
44,76
46,80
45,84
39,84
46,89
37,93
37,90
38,90
45,88
52,90
71,86
73,88
74,84
78,84
77,85
80,76
80,87
74,83
73,79
75,77
72,77
73,76
76,76
75,76
76,74
74,73
80,68
83,68
78,66
79,71
84,60
62,49
67,52
75,53
79,52
79,46
68,48
66,50
69,60
70,61
74,64
91,51
93,59
91,56
93,57
93,55
91,53
93,65
93,70
92,77
91,81
91,82
88,88
85,90
86,87
87,90
85,92
84,91
80,89
93,93
87,77
88,81
87,81
86,75
91,70
83,71
84,68
81,76
83,82
87,43
90,42
92,40
73,63
72,66
66,66
62,66
62,65
64,78
65,83
67,82
64,80
69,64
67,66
69,63
68,60
67,60
63,56
46,72
43,72
40,74
36,75
35,72
35,77
37,80
33,81
31,68
