linha,coluna
10,43
11,42
11,43
11,44
12,42
12,44
12,45
13,44
13,45
13,46
14,44
14,45
15,43
15,44
16,44
17,42
17,43
18,41
18,42
18,43
19,41
20,41
21,41
21,42
22,42
22,43
23,43
23,44
24,43
24,44
24,45
25,44
26,43
27,42
27,54
27,55
27,56
27,57
27,58
28,41
28,42
28,53
28,54
28,55
28,56
28,57
28,59
29,40
29,42
29,52
29,54
29,55
29,56
29,58
29,59
30,40
30,41
30,52
30,53
30,54
30,55
30,56
30,58
30,59
31,40
31,41
31,48
31,49
31,51
31,52
31,53
31,54
31,55
31,56
31,60
32,42
32,48
32,49
32,50
32,51
32,52
32,53
32,54
32,55
32,57
32,61
33,43
33,44
33,46
33,48
33,49
33,50
33,51
33,52
33,53
33,54
33,55
33,57
33,58
33,62
34,42
34,43
34,44
34,45
34,46
34,47
34,48
34,49
34,50
34,51
34,52
34,53
34,54
34,55
34,56
34,57
34,58
34,59
34,61
34,63
34,64
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,48
35,49
35,50
35,51
35,52
35,53
35,54
35,55
35,56
35,57
35,58
35,59
35,60
35,61
35,62
35,63
35,64
36,42
36,43
36,44
36,45
36,46
36,47
36,48
36,49
36,50
36,51
36,52
36,53
36,54
36,55
36,56
36,57
36,58
36,59
36,60
36,61
36,62
36,63
36,64
37,40
37,41
37,43
37,44
37,45
37,46
37,47
37,48
37,49
37,50
37,51
37,52
37,53
37,54
37,55
37,56
37,57
37,58
37,59
37,60
37,61
37,62
37,63
37,64
38,39
38,40
38,41
38,43
38,45
38,47
38,48
38,49
38,50
38,51
38,52
38,53
38,54
38,55
38,56
38,57
38,58
38,59
38,60
38,61
38,63
38,64
39,38
39,39
39,40
39,43
39,44
39,45
39,46
39,47
39,48
39,49
39,50
39,51
39,52
39,53
39,54
39,55
39,56
39,57
39,58
39,59
39,60
39,61
39,62
39,63
39,64
40,38
40,39
40,40
40,41
40,42
40,43
40,44
40,45
40,46
40,47
40,48
40,49
40,50
40,51
40,52
40,53
40,54
40,55
40,56
40,57
40,58
40,59
40,60
40,61
41,37
41,39
41,40
41,41
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,52
41,53
41,54
41,55
41,56
41,59
42,38
42,39
42,40
42,41
42,42
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,52
42,53
42,54
42,55
43,38
43,39
43,40
43,41
43,43
43,44
43,45
43,46
43,47
43,48
43,49
43,50
43,51
43,52
43,53
43,54
44,45
44,46
44,47
44,48
44,49
44,50
44,51
45,45
45,46
45,47
45,48
46,46
