linha,coluna
47,66
39,62
39,76
42,76
44,76
46,80
45,84
39,84
46,89
37,93
37,90
38,90
45,88
52,90
71,86
73,88
74,84
78,84
77,85
80,76
80,87
74,83
73,79
75,77
72,77
73,76
76,76
75,76
76,74
74,73
80,68
83,68
78,66
79,71
84,60
62,49
67,52
75,53
79,52
79,46
68,48
66,50
69,60
70,61
74,64
91,51
93,59
91,56
93,57
93,55
91,53
93,65
93,70
92,77
91,81
91,82
88,88
85,90
86,87
87,90
85,92
84,91
80,89
93,93
87,77
88,81
87,81
86,75
91,70
83,71
84,68
81,76
83,82
87,43
90,42
92,40
73,63
72,66
66,66
62,66
62,65
64,78
65,83
67,82
64,80
69,64
67,66
69,63
68,60
67,60
63,56
46,72
43,72
40,74
36,75
35,72
35,77
37,80
33,81
31,68
30,49
23,41
13,29
11,29
6,28
5,30
7,28
2,28
1,28
20,32
34,37
10,69
9,70
3,79
1,79
3,83
5,83
9,88
8,88
6,88
0,87
5,91
9,83
4,76
16,79
17,76
15,70
15,71
6,58
4,58
2,62
0,62
2,66
0,74
0,73
4,66
2,67
6,55
5,50
4,51
8,43
17,44
10,47
6,56
18,55
18,59
22,51
20,51
24,44
36,51
36,56
36,68
34,59
35,59
31,86
25,89
19,91
22,93
18,92
14,82
18,78
12,80
15,80
28,83
29,85
24,84
18,87
23,86
17,88
16,87
11,93
17,84
25,83
28,84
24,75
21,77
12,76
27,57
23,54
19,63
20,57
39,51
38,51
39,45
40,47
39,38
33,34
30,22
27,21
18,17
15,19
45,41
53,34
49,22
46,17
49,2
47,3
30,21
28,14
21,10
36,7
41,17
44,2
48,0
61,1
60,1
60,2
52,7
51,4
49,5
53,8
55,9
60,5
61,4
61,3
61,2
63,2
63,4
64,5
64,6
69,8
70,9
88,28
92,28
88,33
88,35
88,37
58,41
55,30
56,38
53,43
59,39
69,28
68,24
77,21
82,25
82,26
81,33
81,19
78,18
79,18
74,19
73,18
69,16
68,16
73,15
73,14
75,11
77,17
58,18
55,16
53,15
52,11
53,12
55,15
51,17
65,19
76,17
82,18
72,29
76,28
76,32
78,27
77,38
78,39
73,41
71,39
74,31
73,30
69,30
68,30
67,27
72,24
73,24
73,23
74,24
70,25
67,21
54,23
55,21
55,27
65,36
59,23
51,27
46,34
